x,y,z,dx,dy,dz
18119.02,38079.92,708.30,0.00203,-0.00084,0.07115
18119.65,38079.66,729.48,0.00202,-0.00087,0.07001
18120.27,38079.38,750.31,0.00201,-0.00091,0.06883
18120.89,38079.10,770.78,0.00199,-0.00094,0.06762
18121.50,38078.80,790.88,0.00198,-0.00097,0.06637
18122.11,38078.50,810.61,0.00196,-0.00099,0.06510
18122.72,38078.19,829.94,0.00195,-0.00102,0.06379
18124.50,38077.22,885.54,0.00190,-0.00108,0.05969
18125.67,38076.55,920.50,0.00187,-0.00111,0.05681
18126.82,38075.86,953.71,0.00184,-0.00113,0.05382
18135.45,38070.32,1149.16,0.00166,-0.00106,0.02675
18143.19,38065.98,1206.23,0.00170,-0.00080,-0.00165
18149.74,38063.31,1159.17,0.00184,-0.00064,-0.02439
18156.84,38060.94,1032.78,0.00198,-0.00065,-0.04547
18164.26,38058.16,835.69,0.00199,-0.00087,-0.06344
18174.29,38051.83,438.04,0.00149,-0.00145,-0.08196
18175.19,38050.92,388.47,0.00138,-0.00152,-0.08328
