x,y,z,dx,dy,dz,time
-14317.25145182,39666.06625318,708.29687150,-2.890471516,-1.043175071,0.071152106,2014-03-07T16:00:00
-15180.88263264,39343.66249299,729.47548199,-2.866963209,-1.106141270,0.070006536,2014-03-07T16:05:00
-16037.25566693,39002.44811109,750.30549368,-2.842084842,-1.168576884,0.068827511,2014-03-07T16:10:00
-16885.96132312,38642.58675489,770.77695250,-2.815848374,-1.230452121,0.067615595,2014-03-07T16:15:00
-17726.59405380,38264.25096888,790.88007609,-2.788266408,-1.291737461,0.066371370,2014-03-07T16:20:00
-18558.75218866,37867.62211149,810.60525845,-2.759352187,-1.352403667,0.065095429,2014-03-07T16:25:00
-19382.03812541,37452.89026771,829.94307448,-2.729119587,-1.412421799,0.063788385,2014-03-07T16:30:00
-20196.05851893,37020.25415759,848.88428451,-2.697583112,-1.471763230,0.062450862,2014-03-07T16:35:00
-21000.42446818,36569.92104071,867.41983862,-2.664757886,-1.530399658,0.061083501,2014-03-07T16:40:00
-21794.75170108,36102.10661658,885.54088098,-2.630659644,-1.588303121,0.059686955,2014-03-07T16:45:00
-22578.66075713,35617.03492104,903.23875403,-2.595304727,-1.645446007,0.058261893,2014-03-07T16:50:00
-23351.77716765,35114.93821881,920.50500262,-2.558710072,-1.701801068,0.056808996,2014-03-07T16:55:00
-24113.73163373,34596.05689204,937.33137797,-2.520893207,-1.757341437,0.055328959,2014-03-07T17:00:00
-24864.16020161,34060.63932512,953.70984161,-2.481872238,-1.812040635,0.053822489,2014-03-07T17:05:00
-25602.70443553,33508.94178572,969.63256921,-2.441665844,-1.865872585,0.052290306,2014-03-07T17:10:00
-26329.01158795,32941.22830205,985.09195425,-2.400293267,-1.918811629,0.050733144,2014-03-07T17:15:00
-27042.73476700,32357.77053652,1000.08061166,-2.357774302,-1.970832532,0.049151745,2014-03-07T17:20:00
-27743.53310117,31758.84765580,1014.59138130,-2.314129289,-2.021910500,0.047546866,2014-03-07T17:25:00
-28431.07190110,31144.74619730,1028.61733137,-2.269379102,-2.072021191,0.045919273,2014-03-07T17:30:00
-29105.02281846,30515.75993227,1042.15176167,-2.223545139,-2.121140721,0.044269743,2014-03-07T17:35:00
-29765.06400172,29872.18972540,1055.18820679,-2.176649314,-2.169245685,0.042599066,2014-03-07T17:40:00
